Range_R,Tested_w,Discard_Percentage,Predicted_Time_Sec,Actual_Time_Sec,Is_Predicted_Optimal,Is_Actual_Optimal,Accurate?,
239500801,15,0.02,0.005187,0.012531,0,0,FALSE,
239500801,16,0,0.005769,0.013662,0,0,FALSE,
239500801,17,0,0.006382,0.008301,0,1,FALSE,
479001599,12,0,0.003618,0.0048,1,1,TRUE,
479001599,13,0,0.00411,0.005698,0,0,FALSE,
479001599,14,0,0.004633,0.00778,0,0,FALSE,
479001599,15,0,0.005186,0.009299,0,0,FALSE,
479001599,16,0,0.005769,0.00687,0,0,FALSE,
479001599,17,0,0.006382,0.007837,0,0,FALSE,
1556755201,13,25,0.00548,0.005707,0,1,FALSE,
1556755201,14,1.79,0.004717,0.006794,1,0,FALSE,
1556755201,15,0.12,0.005192,0.013337,0,0,FALSE,
1556755201,16,0.01,0.005769,0.012131,0,0,FALSE,
1556755201,17,0,0.006382,0.014477,0,0,FALSE,
1556755201,18,0,0.007026,0.008849,0,0,FALSE,
2075673601,13,33.33,0.006166,0.01382,0,0,FALSE,
2075673601,14,2.38,0.004746,0.010562,1,0,FALSE,
2075673601,15,0.16,0.005194,0.010941,0,0,FALSE,
2075673601,16,0.01,0.005769,0.014947,0,0,FALSE,
2075673601,17,0,0.006382,0.006629,0,1,FALSE,
2075673601,18,0,0.007026,0.020378,0,0,FALSE,
3113510401,13,50,0.008221,0.016298,0,0,FALSE,
3113510401,14,3.57,0.004804,0.012528,1,0,FALSE,
3113510401,15,0.24,0.005198,0.005836,0,1,FALSE,
3113510401,16,0.01,0.00577,0.008424,0,0,FALSE,
3113510401,17,0,0.006382,0.015069,0,0,FALSE,
3113510401,18,0,0.007026,0.013745,0,0,FALSE,
6227020799,13,0,0.00411,0.009422,1,1,TRUE,
6227020799,14,0,0.004633,0.011437,0,0,FALSE,
6227020799,15,0,0.005186,0.013871,0,0,FALSE,
6227020799,16,0,0.005769,0.011509,0,0,FALSE,
6227020799,17,0,0.006382,0.015093,0,0,FALSE,
6227020799,18,0,0.007026,0.015875,0,0,FALSE,
21794572801,14,25,0.006177,0.011368,0,0,FALSE,
21794572801,15,1.67,0.005274,0.012823,1,0,FALSE,
21794572801,16,0.1,0.005775,0.013862,0,0,FALSE,
21794572801,17,0.01,0.006383,0.012166,0,0,FALSE,
21794572801,18,0,0.007026,0.006676,0,1,FALSE,
29059430401,14,33.33,0.006949,0.013978,0,0,FALSE,
29059430401,15,2.22,0.005304,0.012637,1,0,FALSE,
29059430401,16,0.14,0.005777,0.010749,0,1,FALSE,
29059430401,17,0.01,0.006383,0.011308,0,0,FALSE,
29059430401,18,0,0.007026,0.012596,0,0,FALSE,
43589145601,14,50,0.009266,0.018269,0,0,FALSE,
43589145601,15,3.33,0.005365,0.007239,1,0,FALSE,
43589145601,16,0.21,0.005781,0.007963,0,0,FALSE,
43589145601,17,0.01,0.006383,0.00677,0,1,FALSE,
43589145601,18,0,0.007026,0.016223,0,0,FALSE,
87178291199,14,0,0.004633,0.010309,1,0,FALSE,
87178291199,15,0,0.005186,0.010772,0,0,FALSE,
87178291199,16,0,0.005769,0.013637,0,0,FALSE,
87178291199,17,0,0.006382,0.008374,0,1,FALSE,
87178291199,18,0,0.007026,0.0134,0,0,FALSE,
326918592001,15,25,0.006914,0.012429,0,0,FALSE,
326918592001,16,1.56,0.00586,0.012258,1,0,FALSE,
326918592001,17,0.09,0.006388,0.011826,0,1,FALSE,
326918592001,18,0.01,0.007026,0.014401,0,0,FALSE,
435891456001,15,33.33,0.007779,0.017601,0,0,FALSE,
435891456001,16,2.08,0.005892,0.006715,1,1,TRUE,
435891456001,17,0.12,0.00639,0.008012,0,0,FALSE,
435891456001,18,0.01,0.007027,0.009278,0,0,FALSE,
653837184001,15,50,0.010371,0.017925,0,0,FALSE,
653837184001,16,3.12,0.005955,0.008066,1,1,TRUE,
653837184001,17,0.18,0.006394,0.0136,0,0,FALSE,
653837184001,18,0.01,0.007027,0.018096,0,0,FALSE,
1307674367999,15,0,0.005186,0.010054,1,0,FALSE,
1307674367999,16,0,0.005769,0.006476,0,1,FALSE,
1307674367999,17,0,0.006382,0.007176,0,0,FALSE,
1307674367999,18,0,0.007026,0.007475,0,0,FALSE,
5230697472001,16,25,0.007692,0.014759,0,0,FALSE,
5230697472001,17,1.47,0.006478,0.007713,1,1,TRUE,
5230697472001,18,0.08,0.007032,0.010005,0,0,FALSE,
6974263296001,16,33.33,0.008653,0.016008,0,0,FALSE,
6974263296001,17,1.96,0.00651,0.013732,1,0,FALSE,
6974263296001,18,0.11,0.007034,0.007122,0,1,FALSE,
10461394944001,16,50,0.011538,0.016833,0,0,FALSE,
10461394944001,17,2.94,0.006576,0.007268,1,1,TRUE,
10461394944001,18,0.16,0.007038,0.008134,0,0,FALSE,
20922789887999,16,0,0.005769,0.007584,1,1,TRUE,
20922789887999,17,0,0.006382,0.007828,0,0,FALSE,
20922789887999,18,0,0.007026,0.009408,0,0,FALSE,
88921857024001,17,25,0.00851,0.01115,0,0,FALSE,<-- From here downwards not count
88921857024001,18,1.39,0.007125,0.008415,1,1,TRUE,
118562476032001,17,33.33,0.009574,0.019533,0,0,FALSE,
118562476032001,18,1.85,0.007159,0.008099,1,1,TRUE,
177843714048001,17,50,0.012765,0.02177,0,0,FALSE,
177843714048001,18,2.78,0.007227,0.007472,1,1,TRUE,
355687428095999,17,0,0.006382,0.009771,1,0,FALSE,
355687428095999,18,0,0.007026,0.008356,0,1,FALSE,
1600593426432001,18,25,0.009368,0.01264,1,1,TRUE,
2134124568576001,18,33.33,0.010539,0.015529,1,1,TRUE,
3201186852864001,18,50,0.014052,0.014642,1,1,TRUE,
6402373705727999,18,0,0.007026,0.011333,1,1,TRUE,
,,,,,,,28,
